mode,boot_phase,log_time,native_fps,native_frametime_ms
30,fresh,09-01 19:59:01.129,29.041,33.337
30,fresh,09-01 19:59:02.384,28.789,33.337
30,fresh,09-01 19:59:03.685,28.911,33.327
30,fresh,09-01 19:59:04.937,32.022,33.320
30,fresh,09-01 19:59:06.233,29.404,33.345
30,fresh,09-01 19:59:07.490,28.872,33.337
30,fresh,09-01 19:59:08.750,31.701,33.344
30,fresh,09-01 19:59:10.058,28.893,33.321
30,fresh,09-01 19:59:11.311,31.941,33.335
30,fresh,09-01 19:59:12.614,29.464,33.321
30,fresh,09-01 19:59:13.874,31.997,33.342
30,fresh,09-01 19:59:15.122,29.028,33.337
30,fresh,09-01 19:59:16.434,28.789,33.327
30,fresh,09-01 19:59:17.686,28.580,33.320
30,fresh,09-01 19:59:18.997,28.822,33.340
30,fresh,09-01 19:59:20.259,28.824,33.350
30,fresh,09-01 19:59:21.513,32.103,33.327
30,fresh,09-01 19:59:22.811,32.064,33.414
30,fresh,09-01 19:59:24.067,28.904,33.336
30,fresh,09-01 19:59:25.068,29.668,33.325
30,fresh,09-01 19:59:26.322,28.824,33.333
30,fresh,09-01 19:59:27.579,31.972,33.333
30,fresh,09-01 19:59:28.883,29.088,33.332
30,fresh,09-01 19:59:30.137,31.892,33.327
30,fresh,09-01 19:59:31.446,30.042,33.342
30,fresh,09-01 19:59:32.700,28.758,33.337
30,fresh,09-01 19:59:33.954,28.699,33.330
30,fresh,09-01 19:59:35.257,29.281,33.217
30,fresh,09-01 19:59:36.514,31.858,33.340
30,fresh,09-01 19:59:37.816,30.164,33.359
30,fresh,09-01 19:59:39.067,28.760,33.352
30,fresh,09-01 19:59:40.327,28.697,33.339
30,fresh,09-01 19:59:41.624,29.324,33.337
30,fresh,09-01 19:59:42.882,28.735,33.346
30,fresh,09-01 19:59:44.188,29.735,33.216
30,fresh,09-01 19:59:45.434,28.685,33.520
30,fresh,09-01 19:59:46.691,28.499,33.306
30,fresh,09-01 19:59:47.993,29.367,33.349
30,fresh,09-01 19:59:49.242,32.164,33.340
30,fresh,09-01 19:59:50.549,29.823,33.321
30,fresh,09-01 19:59:51.794,28.752,33.320
30,fresh,09-01 19:59:53.046,31.970,33.322
30,fresh,09-01 19:59:54.046,29.370,33.440
30,fresh,09-01 19:59:55.299,28.923,33.403
30,fresh,09-01 19:59:56.562,28.866,33.346
30,fresh,09-01 19:59:57.862,29.208,33.343
30,fresh,09-01 19:59:59.107,32.153,33.331
30,fresh,09-01 20:00:00.108,29.471,33.302
30,fresh,09-01 20:00:01.354,28.775,33.342
30,fresh,09-01 20:00:02.609,31.898,33.471
30,fresh,09-01 20:00:03.913,29.276,33.322
30,fresh,09-01 20:00:05.170,31.854,33.318
30,fresh,09-01 20:00:06.484,29.383,33.336
30,fresh,09-01 20:00:07.741,31.952,33.323
30,fresh,09-01 20:00:08.993,28.452,33.322
30,fresh,09-01 20:00:10.299,29.217,33.350
30,fresh,09-01 20:00:11.555,28.765,33.171
30,fresh,09-01 20:00:12.868,29.519,33.330
30,fresh,09-01 20:00:14.120,28.615,33.318
30,fresh,09-01 20:00:15.376,31.860,33.331
30,fresh,09-01 20:00:16.377,29.195,33.331
30,fresh,09-01 20:00:17.626,29.124,33.329
30,fresh,09-01 20:00:18.883,28.830,33.329
30,fresh,09-01 20:00:20.187,28.818,33.306
30,fresh,09-01 20:00:21.434,28.878,33.324
30,fresh,09-01 20:00:22.438,32.173,33.345
30,fresh,09-01 20:00:23.690,28.849,33.342
30,fresh,09-01 20:00:24.943,32.015,33.331
30,fresh,09-01 20:00:26.256,28.786,33.348
30,fresh,09-01 20:00:27.513,31.899,33.321
