mode,boot_phase,log_time,native_fps,native_frametime_ms
Off,fresh,09-01 20:02:59.070,58.917,16.673
Off,fresh,09-01 20:03:00.313,58.709,17.008
Off,fresh,09-01 20:03:01.561,57.841,17.120
Off,fresh,09-01 20:03:02.875,57.399,17.007
Off,fresh,09-01 20:03:04.146,59.306,17.066
Off,fresh,09-01 20:03:05.447,55.648,17.232
Off,fresh,09-01 20:03:06.691,56.949,17.020
Off,fresh,09-01 20:03:07.938,57.796,17.002
Off,fresh,09-01 20:03:08.942,57.308,17.216
Off,fresh,09-01 20:03:10.181,55.617,17.096
Off,fresh,09-01 20:03:11.475,57.324,16.942
Off,fresh,09-01 20:03:12.706,58.585,17.080
Off,fresh,09-01 20:03:13.954,57.827,17.189
Off,fresh,09-01 20:03:14.956,57.149,17.108
Off,fresh,09-01 20:03:16.203,57.339,17.032
Off,fresh,09-01 20:03:17.450,60.395,17.124
Off,fresh,09-01 20:03:18.743,61.508,16.808
Off,fresh,09-01 20:03:19.969,58.261,16.926
