09-02 22:26:45.828 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 7 of 32 (2m remaining))
09-02 22:26:45.829 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 7 of 32 (2m remaining) percent=21 max=100 session=S3-1788367015251-6524
09-02 22:26:50.618 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 8 of 32 (2m remaining))
09-02 22:26:50.625 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 8 of 32 (2m remaining) percent=25 max=100 session=S3-1788367015251-6524
09-02 22:26:56.019 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 9 of 32 (2m remaining))
09-02 22:26:56.023 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 9 of 32 (2m remaining) percent=28 max=100 session=S3-1788367015251-6524
09-02 22:27:01.978 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 10 of 32 (2m remaining))
09-02 22:27:01.979 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 10 of 32 (2m remaining) percent=31 max=100 session=S3-1788367015251-6524
09-02 22:27:06.938 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 11 of 32 (1m 59s remaining))
09-02 22:27:06.942 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 11 of 32 (1m 59s remain percent=34 max=100 session=S3-1788367015251-6524
09-02 22:27:11.799 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 12 of 32 (1m 52s remaining))
09-02 22:27:11.809 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 12 of 32 (1m 52s remain percent=37 max=100 session=S3-1788367015251-6524
09-02 22:27:18.518 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 13 of 32 (1m 48s remaining))
09-02 22:27:18.528 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 13 of 32 (1m 48s remain percent=40 max=100 session=S3-1788367015251-6524
09-02 22:27:25.958 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 14 of 32 (1m 44s remaining))
09-02 22:27:25.981 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 14 of 32 (1m 44s remain percent=43 max=100 session=S3-1788367015251-6524
